Seq. Name	Seq. Description	Seq. Length	#Hits	min. eValue	mean Similarity
contig02870	plpl6_mouse ame: full=neuropathy target esterase ame: full=patatin-like phospholipase domain-containing protein 6	605	5	1.76E-65	81.40%
contig02871	---NA---	308	0		
contig02872	plpl6_ponab ame: full=neuropathy target esterase ame: full=patatin-like phospholipase domain-containing protein 6	534	5	1.47E-110	90.20%
contig02874	---NA---	717	0		
contig02875	---NA---	167	0		
contig02876	---NA---	279	0		
contig02878	---NA---	106	0		
contig02880	---NA---	138	0		
contig02881	ncdn_human ame: full=neurochondrin	3200	5	0	94.00%
contig02882	---NA---	343	0		
contig02884	susd1_human ame: full=sushi domain-containing protein 1 flags: precursor	1961	5	0	54.20%
contig02886	---NA---	514	0		
contig02887	---NA---	2669	0		
contig02888	tfdp2_mouse ame: full=transcription factor dp-2 ame: full=dp-3 ame: full=e2f dimerization partner 2	439	5	1.35E-60	86.20%
contig02889	tfdp2_human ame: full=transcription factor dp-2 ame: full=e2f dimerization partner 2	640	5	4.64E-130	85.00%
contig02890	---NA---	293	0		
contig02891	---NA---	189	0		
contig02892	---NA---	941	0		
contig02893	---NA---	158	0		
contig02894	fgr_human ame: full=tyrosine-protein kinase fgr ame: full=gardner-rasheed feline sarcoma viral (v-fgr) oncogene homolog ame: full=proto-oncogene c-fgr ame: full=p55-fgr ame: full=p58-fgr ame: full=p58c-fgr	1779	5	0	86.40%
contig02895	---NA---	141	0		
contig02897	---NA---	268	0		
contig02898	---NA---	205	0		
contig02899	dhx16_human ame: full= pre-mrna-splicing factor atp-dependent rna helicase dhx16 ame: full=atp-dependent rna helicase #3 ame: full=deah-box protein 16	3780	5	0	89.80%
contig02900	dhx16_pig ame: full= pre-mrna-splicing factor atp-dependent rna helicase dhx16 ame: full=deah-box protein 16	388	3	4.04E-36	95.67%
contig02901	---NA---	388	0		
contig02902	slu7_bovin ame: full=pre-mrna-splicing factor slu7	316	5	3.45E-19	99.20%
contig02903	slu7_human ame: full=pre-mrna-splicing factor slu7 short=hslu7	685	5	2.36E-161	96.80%
contig02904	---NA---	101	0		
contig02905	slu7_mouse ame: full=pre-mrna-splicing factor slu7	716	5	1.26E-154	97.40%
contig02906	---NA---	353	0		
contig02908	---NA---	256	0		
contig02909	slu7_mouse ame: full=pre-mrna-splicing factor slu7	193	2	6.70E-15	94.00%
contig02910	---NA---	216	0		
contig02911	s22af_mouse ame: full=solute carrier family 22 member 15	852	2	2.36E-08	85.50%
contig02913	s22af_human ame: full=solute carrier family 22 member 15 ame: full=fly-like transporter 1 short=flipt 1	117	3	1.42E-10	81.00%
contig02914	---NA---	1993	0		
contig02915	s22af_human ame: full=solute carrier family 22 member 15 ame: full=fly-like transporter 1 short=flipt 1	440	5	6.90E-54	74.20%
contig02916	s22af_human ame: full=solute carrier family 22 member 15 ame: full=fly-like transporter 1 short=flipt 1	135	4	5.25E-16	87.75%
contig02917	s22af_human ame: full=solute carrier family 22 member 15 ame: full=fly-like transporter 1 short=flipt 1	612	5	6.55E-80	74.00%
contig02919	---NA---	173	0		
contig02921	---NA---	243	0		
contig02923	---NA---	332	0		
contig02924	miip_mouse ame: full=migration and invasion-inhibitory protein ame: full=invasion-inhibitory protein 45 short=iip45	224	3	4.30E-39	91.00%
contig02925	---NA---	302	0		
contig02926	miip_human ame: full=migration and invasion-inhibitory protein ame: full=igfbp2-binding protein ame: full=invasion-inhibitory protein 45 short=iip45	165	2	8.95E-14	74.00%
contig02927	miip_rat ame: full=migration and invasion-inhibitory protein ame: full=invasion-inhibitory protein 45 short=iip45	396	3	2.77E-17	55.67%
contig02930	---NA---	509	0		
contig02931	---NA---	294	0		
contig02933	---NA---	170	0		
contig02935	rab5a_canfa ame: full=ras-related protein rab-5a	2418	5	1.21E-151	99.20%
contig02936	clcn3_mouse ame: full=h(+) cl(-) exchange transporter 3 ame: full=chloride channel protein 3 short= -3 ame: full=chloride transporter -3	2205	5	0	98.60%
contig02938	---NA---	1498	0		
contig02939	---NA---	2052	0		
contig02940	cd027_human ame: full=upf0609 protein c4orf27	1079	5	0	91.20%
contig02941	clcn3_ponab ame: full=h(+) cl(-) exchange transporter 3 ame: full=chloride channel protein 3 short= -3 ame: full=chloride transporter -3	730	4	6.64E-27	99.00%
contig02942	---NA---	347	0		
contig02944	---NA---	408	0		
contig02945	---NA---	656	0		
contig02946	---NA---	511	0		
contig02947	focad_human ame: full=focadhesin	3937	2	0	92.50%
contig02948	focad_human ame: full=focadhesin	385	2	2.79E-49	94.00%
contig02949	focad_human ame: full=focadhesin	119	2	8.62E-09	94.50%
contig02950	focad_human ame: full=focadhesin	623	2	3.93E-114	89.00%
contig02951	focad_human ame: full=focadhesin	330	2	2.99E-39	90.50%
contig02952	---NA---	500	0		
contig02953	---NA---	642	0		
contig02954	---NA---	219	0		
contig02955	---NA---	405	0		
contig02957	---NA---	135	0		
contig02958	---NA---	102	0		
contig02959	ntaq1_mouse ame: full=protein n-terminal glutamine amidohydrolase ame: full=protein nh2-terminal glutamine deamidase short=n-terminal gln amidase short=nt -amidase ame: full=wdyhv motif-containing protein 1	1237	1	1.45E-11	91.00%
contig02960	slx1_human ame: full=structure-specific endonuclease subunit slx1 ame: full=giy-yig domain-containing protein 1	826	5	2.17E-77	78.60%
contig02961	bola2_mouse ame: full= -like protein 2	250	5	4.16E-31	76.80%
contig02965	---NA---	361	0		
contig02966	slx1_bovin ame: full=structure-specific endonuclease subunit slx1 ame: full=giy-yig domain-containing protein 1	160	5	1.27E-26	92.80%
contig02968	slx1_mouse ame: full=structure-specific endonuclease subunit slx1 ame: full=giy-yig domain-containing protein 1	147	5	2.94E-24	90.20%
contig02969	---NA---	478	0		
contig02970	---NA---	102	0		
contig02971	srpk2_human ame: full=srsf protein kinase 2 ame: full=sfrs protein kinase 2 ame: full=serine arginine-rich protein-specific kinase 2 short=sr-protein-specific kinase 2 contains: ame: full=srsf protein kinase 2 n-terminal contains: ame: full=srsf protein kinase 2 c-terminal	701	5	9.59E-149	82.20%
contig02973	kmt2e_human ame: full=histone-lysine n-methyltransferase 2e short=lysine n-methyltransferase 2e ame: full=myeloid lymphoid or mixed-lineage leukemia protein 5	8477	5	0	76.60%
contig02974	kmt2e_human ame: full=histone-lysine n-methyltransferase 2e short=lysine n-methyltransferase 2e ame: full=myeloid lymphoid or mixed-lineage leukemia protein 5	991	5	0	75.60%
contig02975	kmt2e_mouse ame: full=histone-lysine n-methyltransferase 2e short=lysine n-methyltransferase 2e ame: full=myeloid lymphoid or mixed-lineage leukemia protein 5 homolog	316	5	2.59E-66	78.20%
contig02976	gpat4_ponab ame: full=glycerol-3-phosphate acyltransferase 4 short=gpat4 ame: full=1-acylglycerol-3-phosphate o-acyltransferase 6 short=1-agp acyltransferase 6 short=1-agpat 6 ame: full=acyl- :glycerol-3-phosphate acyltransferase 4 ame: full=lysophosphatidic acid acyltransferase zeta short=lpaat-zeta flags: precursor	3176	5	1.61E-105	94.60%
contig02977	---NA---	657	0		
contig02978	---NA---	906	0		
contig02979	---NA---	279	0		
contig02980	---NA---	107	0		
contig02981	---NA---	1387	0		
contig02983	---NA---	217	0		
contig02984	---NA---	136	0		
contig02985	huwe1_human ame: full=e3 ubiquitin-protein ligase huwe1 ame: full=arf-binding protein 1 short=arf-bp1 ame: full= uba and wwe domain-containing protein 1 ame: full=homologous to e6ap carboxyl terminus homologous protein 9 short= 9 ame: full=large structure of ureb1 short=lasu1 ame: full=mcl-1 ubiquitin ligase e3 short=mule ame: full=upstream regulatory element-binding protein 1 short=ure-b1 short=ure-binding protein 1	7315	5	0	68.20%
contig02988	---NA---	330	0		
contig02989	---NA---	129	0		
contig02990	---NA---	227	0		
contig02991	---NA---	176	0		
contig02992	zeb1_rat ame: full=zinc finger e-box-binding homeobox 1 ame: full=transcription factor 8 short=tcf-8 ame: full=zinc finger homeodomain enhancer-binding protein short=zfhep	601	4	1.91E-27	85.75%
contig02994	zeb1_human ame: full=zinc finger e-box-binding homeobox 1 ame: full=nil-2-a zinc finger protein ame: full=negative regulator of il2 ame: full=transcription factor 8 short=tcf-8	2861	5	0	92.00%
contig02995	---NA---	1138	0		
contig02996	---NA---	132	0		
contig02997	rn123_mouse ame: full=e3 ubiquitin-protein ligase rnf123 ame: full=kip1 ubiquitination-promoting complex protein 1 ame: full=ring finger protein 123	1909	3	0	95.00%
contig02998	rn123_mouse ame: full=e3 ubiquitin-protein ligase rnf123 ame: full=kip1 ubiquitination-promoting complex protein 1 ame: full=ring finger protein 123	1152	4	0	83.75%
contig03000	gmppb_human ame: full=mannose-1-phosphate guanyltransferase beta ame: full=gdp-mannose pyrophosphorylase b ame: full=gtp-mannose-1-phosphate guanylyltransferase beta	1889	5	0	97.20%
contig03001	---NA---	197	0		
contig03002	rn123_human ame: full=e3 ubiquitin-protein ligase rnf123 ame: full=kip1 ubiquitination-promoting complex protein 1 ame: full=ring finger protein 123	855	5	6.17E-151	71.40%
contig03003	---NA---	130	0		
contig03004	---NA---	784	0		
contig03005	---NA---	923	0		
contig03006	---NA---	271	0		
contig03007	fastk_human ame: full=fas-activated serine threonine kinase short=fast kinase	267	2	3.56E-13	92.50%
contig03008	fastk_mouse ame: full=fas-activated serine threonine kinase short=fast kinase	116	2	1.01E-17	100.00%
contig03010	fastk_human ame: full=fas-activated serine threonine kinase short=fast kinase	214	2	2.26E-36	90.50%
contig03011	---NA---	217	0		
contig03012	fastk_human ame: full=fas-activated serine threonine kinase short=fast kinase	1117	2	2.09E-160	86.50%
contig03013	---NA---	192	0		
contig03014	---NA---	157	0		
contig03016	fastk_human ame: full=fas-activated serine threonine kinase short=fast kinase	196	2	1.56E-13	92.50%
contig03017	fastk_human ame: full=fas-activated serine threonine kinase short=fast kinase	200	2	1.60E-13	92.50%
contig03019	---NA---	805	0		
contig03020	---NA---	811	0		
contig03021	---NA---	405	0		
contig03022	ls14a_ponab ame: full=protein lsm14 homolog a ame: full=protein fam61a ame: full=rna-associated protein 55a	565	5	8.97E-82	94.80%
contig03023	ls14a_bovin ame: full=protein lsm14 homolog a ame: full=protein fam61a ame: full=rna-associated protein 55a	176	5	6.68E-30	90.80%
contig03024	ls14a_bovin ame: full=protein lsm14 homolog a ame: full=protein fam61a ame: full=rna-associated protein 55a	651	5	7.14E-82	95.60%
contig03027	---NA---	448	0		
contig03028	---NA---	300	0		
contig03029	---NA---	172	0		
contig03030	---NA---	150	0		
contig03031	---NA---	327	0		
contig03032	---NA---	545	0		
contig03036	ntm1a_mouse ame: full=n-terminal xaa-pro-lys n-methyltransferase 1 ame: full=alpha n-terminal protein methyltransferase 1a ame: full=methyltransferase-like protein 11a ame: full=x-pro-lys n-terminal protein methyltransferase 1a short=ntm1a contains: ame: full=n-terminal xaa-pro-lys n-methyltransferase n-terminally processed	428	5	9.27E-99	96.80%
contig03038	---NA---	408	0		
contig03039	---NA---	182	0		
contig03040	---NA---	206	0		
contig03041	---NA---	762	0		
contig03043	pcx3_human ame: full=pecanex-like protein 3	2740	5	0	77.40%
contig03046	pcx3_human ame: full=pecanex-like protein 3	2463	5	0	87.00%
contig03047	---NA---	176	0		
contig03048	pcx3_mouse ame: full=pecanex-like protein 3	892	5	0	93.80%
contig03050	---NA---	299	0		
contig03052	pcx3_mouse ame: full=pecanex-like protein 3	537	2	1.21E-12	85.00%
contig03055	---NA---	516	0		
contig03056	---NA---	785	0		
contig03057	---NA---	218	0		
contig03058	s22an_human ame: full=solute carrier family 22 member 23	345	3	4.45E-43	85.33%
contig03059	s22an_human ame: full=solute carrier family 22 member 23	1051	5	0	77.00%
contig03060	s22an_human ame: full=solute carrier family 22 member 23	1543	4	1.36E-56	89.25%
contig03061	---NA---	1936	0		
contig03062	---NA---	318	0		
contig03063	---NA---	181	0		
contig03064	---NA---	199	0		
contig03065	---NA---	364	0		
contig03067	sln13_human ame: full=schlafen family member 13	1109	5	9.89E-137	64.00%
contig03068	---NA---	1005	0		
contig03069	sln13_human ame: full=schlafen family member 13	121	1	4.37E-11	82.00%
contig03070	sln13_human ame: full=schlafen family member 13	2088	5	0	71.20%
contig03071	---NA---	687	0		
contig03072	---NA---	184	0		
contig03073	---NA---	180	0		
contig03074	---NA---	129	0		
contig03075	---NA---	605	0		
contig03076	---NA---	164	0		
contig03078	---NA---	158	0		
contig03079	---NA---	324	0		
contig03080	---NA---	191	0		
contig03083	---NA---	130	0		
contig03084	---NA---	1355	0		
contig03085	cd177_human ame: full=cd177 antigen ame: full=human neutrophil alloantigen 2a short=hna-2a ame: full=nb1 glycoprotein short=nb1 gp ame: full=polycythemia rubra vera protein 1 short=prv-1 ame: cd_antigen=cd177 flags: precursor	260	5	2.38E-22	64.80%
contig03086	---NA---	100	0		
contig03087	---NA---	568	0		
contig03088	cd177_mouse ame: full=cd177 antigen ame: cd_antigen=cd177 flags: precursor	334	5	1.61E-40	60.80%
contig03089	---NA---	227	0		
contig03090	---NA---	103	0		
contig03091	---NA---	1010	0		
contig03092	---NA---	952	0		
contig03093	smk2a_mouse ame: full=sperm motility kinase 2a	3885	5	3.84E-38	61.00%
contig03094	rl21_human ame: full=60s ribosomal protein l21	537	5	3.12E-111	98.60%
contig03096	---NA---	332	0		
contig03097	---NA---	233	0		
contig03098	---NA---	128	0		
contig03100	---NA---	138	0		
contig03101	---NA---	1491	0		
contig03102	---NA---	596	0		
contig03103	ipp2_rabit ame: full=protein phosphatase inhibitor 2 short=ipp-2	2742	5	5.75E-82	87.40%
contig03105	extl3_human ame: full=exostosin-like 3 ame: full=ext-related protein 1 ame: full=glucuronyl-galactosyl-proteoglycan 4-alpha-n-acetylglucosaminyltransferase ame: full=hereditary multiple exostoses gene isolog ame: full=multiple exostosis-like protein 3 ame: full= tumor suppressor protein extl3	624	5	2.67E-71	86.00%
contig03106	extl3_human ame: full=exostosin-like 3 ame: full=ext-related protein 1 ame: full=glucuronyl-galactosyl-proteoglycan 4-alpha-n-acetylglucosaminyltransferase ame: full=hereditary multiple exostoses gene isolog ame: full=multiple exostosis-like protein 3 ame: full= tumor suppressor protein extl3	2926	5	0	72.20%
contig03107	armc8_human ame: full=armadillo repeat-containing protein 8	443	5	1.57E-98	98.80%
contig03109	armc8_bovin ame: full=armadillo repeat-containing protein 8	819	5	1.73E-99	98.40%
contig03110	---NA---	1040	0		
contig03111	extl3_mouse ame: full=exostosin-like 3 ame: full=glucuronyl-galactosyl-proteoglycan 4-alpha-n-acetylglucosaminyltransferase ame: full=multiple exostosis-like protein 3	379	5	1.69E-65	85.80%
contig03113	---NA---	252	0		
contig03114	---NA---	171	0		
contig03115	apbb3_mouse ame: full=amyloid beta a4 precursor protein-binding family b member 3	1062	5	8.86E-99	77.60%
contig03116	---NA---	116	0		
contig03117	apbb3_human ame: full=amyloid beta a4 precursor protein-binding family b member 3 ame: full=protein fe65-like 2 short=fe65l2	186	5	1.84E-23	91.60%
contig03118	---NA---	206	0		
contig03119	---NA---	136	0		
contig03120	apbb3_human ame: full=amyloid beta a4 precursor protein-binding family b member 3 ame: full=protein fe65-like 2 short=fe65l2	2264	5	9.44E-159	90.60%
contig03121	---NA---	146	0		
contig03122	sra1_human ame: full=steroid receptor rna activator 1 ame: full=steroid receptor rna activator protein short=srap	792	3	3.10E-22	85.33%
contig03123	sra1_human ame: full=steroid receptor rna activator 1 ame: full=steroid receptor rna activator protein short=srap	151	3	1.89E-23	91.00%
contig03124	sra1_human ame: full=steroid receptor rna activator 1 ame: full=steroid receptor rna activator protein short=srap	168	3	2.52E-31	95.33%
contig03127	---NA---	532	0		
contig03128	pgrc2_mouse ame: full=membrane-associated progesterone receptor component 2	1386	5	4.71E-89	93.40%
contig03130	ryk_human ame: full=tyrosine-protein kinase ryk flags: precursor	2545	5	0	75.00%
contig03131	---NA---	997	0		
contig03132	---NA---	176	0		
contig03133	---NA---	105	0		
contig03134	fbxw5_human ame: full=f-box wd repeat-containing protein 5 ame: full=f-box and wd-40 domain-containing protein 5	1296	3	0	92.33%
contig03135	---NA---	158	0		
contig03136	---NA---	197	0		
contig03137	fbxw5_human ame: full=f-box wd repeat-containing protein 5 ame: full=f-box and wd-40 domain-containing protein 5	429	3	1.03E-74	97.00%
contig03139	tle1_mouse ame: full=transducin-like enhancer protein 1 ame: full=groucho-related protein 1 short=grg-1	813	5	1.33E-64	95.00%
contig03141	---NA---	138	0		
contig03142	tle1_human ame: full=transducin-like enhancer protein 1 ame: full=e homolog ame: full=enhancer of split groucho-like protein 1 short=esg1	785	5	8.03E-119	87.20%
contig03143	tle4_human ame: full=transducin-like enhancer protein 4	505	5	4.33E-115	99.00%
contig03144	tle3_rat ame: full=transducin-like enhancer protein 3 short=rtle3	1042	5	6.22E-118	98.60%
contig03145	tle4_human ame: full=transducin-like enhancer protein 4	473	5	5.66E-71	96.40%
contig03147	tle4_human ame: full=transducin-like enhancer protein 4	895	5	1.84E-140	95.60%
contig03148	tle3_rat ame: full=transducin-like enhancer protein 3 short=rtle3	1384	5	0	92.20%
contig03149	---NA---	395	0		
contig03150	---NA---	682	0		
contig03151	ada19_human ame: full=disintegrin and metalloproteinase domain-containing protein 19 short=adam 19 ame: full=meltrin-beta ame: full=metalloprotease and disintegrin dendritic antigen marker short=maddam flags: precursor	1372	2	1.66E-53	79.00%
contig03152	ada19_human ame: full=disintegrin and metalloproteinase domain-containing protein 19 short=adam 19 ame: full=meltrin-beta ame: full=metalloprotease and disintegrin dendritic antigen marker short=maddam flags: precursor	698	5	1.04E-125	69.20%
contig03153	ada19_human ame: full=disintegrin and metalloproteinase domain-containing protein 19 short=adam 19 ame: full=meltrin-beta ame: full=metalloprotease and disintegrin dendritic antigen marker short=maddam flags: precursor	732	5	2.18E-142	80.80%
contig03154	ada19_mouse ame: full=disintegrin and metalloproteinase domain-containing protein 19 short=adam 19 ame: full=meltrin-beta flags: precursor	335	5	1.87E-59	71.40%
contig03155	---NA---	123	0		
contig03157	ada19_human ame: full=disintegrin and metalloproteinase domain-containing protein 19 short=adam 19 ame: full=meltrin-beta ame: full=metalloprotease and disintegrin dendritic antigen marker short=maddam flags: precursor	507	2	7.96E-16	78.00%
contig03158	---NA---	134	0		
contig03159	---NA---	272	0		
contig03160	---NA---	667	0		
contig03161	---NA---	140	0		
contig03163	---NA---	425	0		
contig03165	---NA---	153	0		
contig03166	---NA---	192	0		
contig03167	---NA---	502	0		
contig03168	zn567_bovin ame: full=zinc finger protein 567	630	5	5.66E-26	56.00%
contig03169	znf79_human ame: full=zinc finger protein 79 ame: full=zn 7	615	5	7.77E-53	62.60%
contig03171	---NA---	444	0		
contig03172	---NA---	154	0		
contig03173	---NA---	178	0		
contig03174	zg49_xenla ame: full=gastrula zinc finger protein	153	5	2.36E-12	68.40%
contig03175	---NA---	2707	0		
contig03176	---NA---	630	0		
contig03177	son_human ame: full=protein son ame: full=bax antagonist selected in saccharomyces 1 short=bass1 ame: full=negative regulatory element-binding protein short=nre-binding protein ame: full=protein dbp-5 ame: full=son3	344	2	1.99E-62	100.00%
contig03179	dons_human ame: full=protein downstream neighbor of son ame: full=b17	3314	5	0	78.40%
contig03181	son_human ame: full=protein son ame: full=bax antagonist selected in saccharomyces 1 short=bass1 ame: full=negative regulatory element-binding protein short=nre-binding protein ame: full=protein dbp-5 ame: full=son3	2147	2	1.23E-165	79.50%
contig03182	son_human ame: full=protein son ame: full=bax antagonist selected in saccharomyces 1 short=bass1 ame: full=negative regulatory element-binding protein short=nre-binding protein ame: full=protein dbp-5 ame: full=son3	336	2	2.49E-58	100.00%
contig03183	son_human ame: full=protein son ame: full=bax antagonist selected in saccharomyces 1 short=bass1 ame: full=negative regulatory element-binding protein short=nre-binding protein ame: full=protein dbp-5 ame: full=son3	227	2	3.33E-45	100.00%
contig03184	---NA---	1381	0		
contig03185	---NA---	817	0		
contig03187	ada17_human ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=snake venom-like protease ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b flags: precursor	772	4	9.39E-105	83.50%
contig03188	ada17_rat ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b flags: precursor	135	3	1.74E-22	95.00%
contig03189	ada17_human ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=snake venom-like protease ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b flags: precursor	201	4	1.26E-38	87.25%
contig03190	ada17_pig ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b	147	4	1.51E-28	99.25%
contig03192	ada17_human ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=snake venom-like protease ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b flags: precursor	1352	5	0	81.00%
contig03193	ada17_rat ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b flags: precursor	622	3	4.31E-49	87.67%
contig03194	---NA---	556	0		
contig03195	---NA---	296	0		
contig03196	ada17_pig ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b	184	4	3.95E-13	73.50%
contig03197	ada17_human ame: full=disintegrin and metalloproteinase domain-containing protein 17 short=adam 17 ame: full=snake venom-like protease ame: full=tnf-alpha convertase ame: full=tnf-alpha-converting enzyme ame: cd_antigen=cd156b flags: precursor	242	4	3.69E-52	89.75%
contig03199	---NA---	517	0		
contig03201	---NA---	104	0		
contig03202	---NA---	181	0		
contig03203	---NA---	568	0		
contig03204	camp1_mouse ame: full=calmodulin-regulated spectrin-associated protein 1	3447	5	0	75.80%
contig03205	camp1_human ame: full=calmodulin-regulated spectrin-associated protein 1	175	4	2.71E-27	85.00%
contig03206	camp1_mouse ame: full=calmodulin-regulated spectrin-associated protein 1	416	5	2.40E-77	82.60%
contig03207	camp1_mouse ame: full=calmodulin-regulated spectrin-associated protein 1	141	5	6.86E-23	87.80%
contig03208	camp1_mouse ame: full=calmodulin-regulated spectrin-associated protein 1	748	5	1.51E-140	88.40%
contig03209	---NA---	733	0		
contig03210	af10_human ame: full=protein af-10 ame: full=all1-fused gene from chromosome 10 protein	521	5	1.00E-50	87.00%
contig03211	af10_mouse ame: full=protein af-10	371	5	4.43E-86	86.60%
contig03213	af10_human ame: full=protein af-10 ame: full=all1-fused gene from chromosome 10 protein	343	2	8.58E-29	95.50%
contig03214	af10_human ame: full=protein af-10 ame: full=all1-fused gene from chromosome 10 protein	571	2	2.52E-76	95.50%
contig03217	af10_human ame: full=protein af-10 ame: full=all1-fused gene from chromosome 10 protein	1166	4	0	77.75%
contig03218	af10_human ame: full=protein af-10 ame: full=all1-fused gene from chromosome 10 protein	1788	2	1.04E-22	83.00%
contig03219	af10_human ame: full=protein af-10 ame: full=all1-fused gene from chromosome 10 protein	308	5	4.35E-51	87.00%
contig03220	---NA---	127	0		
contig03221	lrc45_human ame: full=leucine-rich repeat-containing protein 45	467	3	2.79E-18	73.00%
contig03222	---NA---	309	0		
contig03223	lrc45_mouse ame: full=leucine-rich repeat-containing protein 45	315	5	3.46E-57	75.40%
contig03224	lrc45_human ame: full=leucine-rich repeat-containing protein 45	129	3	1.30E-21	94.67%
contig03225	lrc45_mouse ame: full=leucine-rich repeat-containing protein 45	250	3	4.38E-31	88.33%
contig03226	---NA---	123	0		
contig03227	lrc45_human ame: full=leucine-rich repeat-containing protein 45	209	3	1.81E-17	86.00%
contig03229	lrc45_mouse ame: full=leucine-rich repeat-containing protein 45	185	3	8.00E-25	88.00%
contig03230	---NA---	236	0		
contig03231	lrc45_mouse ame: full=leucine-rich repeat-containing protein 45	1055	3	2.49E-88	89.00%
contig03232	miro2_mouse ame: full=mitochondrial rho gtpase 2 short=miro-2 ame: full=ras homolog gene family member t2	498	5	1.19E-81	96.00%
contig03233	miro2_rat ame: full=mitochondrial rho gtpase 2 short=miro-2 ame: full=ras homolog gene family member t2	204	5	5.74E-37	95.20%
contig03234	---NA---	107	0		
contig03235	miro2_rat ame: full=mitochondrial rho gtpase 2 short=miro-2 ame: full=ras homolog gene family member t2	107	4	5.44E-16	94.75%
contig03237	miro2_pig ame: full=mitochondrial rho gtpase 2 short=miro-2 ame: full=ras homolog gene family member t2	122	5	2.14E-21	95.80%
contig03238	---NA---	316	0		
contig03241	miro2_human ame: full=mitochondrial rho gtpase 2 short=miro-2 short=hmiro-2 ame: full=ras homolog gene family member t2	1424	5	9.87E-168	84.80%
contig03242	---NA---	136	0		
contig03243	den6b_human ame: full=protein dennd6b ame: full=denn domain-containing protein 6b	351	5	7.51E-20	82.20%
contig03244	den6b_mouse ame: full=protein dennd6b ame: full=denn domain-containing protein 6b	763	5	3.76E-170	85.00%
contig03246	den6b_mouse ame: full=protein dennd6b ame: full=denn domain-containing protein 6b	314	5	1.11E-58	88.00%
contig03247	---NA---	386	0		
contig03248	den6b_mouse ame: full=protein dennd6b ame: full=denn domain-containing protein 6b	107	5	3.02E-15	87.80%
contig03250	den6b_mouse ame: full=protein dennd6b ame: full=denn domain-containing protein 6b	183	5	2.42E-35	83.60%
contig03252	den6b_mouse ame: full=protein dennd6b ame: full=denn domain-containing protein 6b	350	2	2.11E-14	90.00%
contig03253	den6b_human ame: full=protein dennd6b ame: full=denn domain-containing protein 6b	279	5	1.04E-19	80.20%
contig03254	hdac6_human ame: full=histone deacetylase 6 short=hd6	961	5	1.75E-57	69.20%
contig03255	---NA---	125	0		
contig03258	---NA---	454	0		
contig03259	hdac6_mouse ame: full=histone deacetylase 6 short=hd6 ame: full=histone deacetylase mhda2	325	5	2.61E-54	76.00%
contig03260	hdac6_human ame: full=histone deacetylase 6 short=hd6	195	5	6.09E-33	79.40%
contig03261	hdac6_human ame: full=histone deacetylase 6 short=hd6	2031	5	0	74.80%
contig03262	---NA---	275	0		
contig03263	---NA---	314	0		
contig03264	---NA---	228	0		
contig03265	---NA---	1871	0		
contig03267	slmap_human ame: full=sarcolemmal membrane-associated protein short=sarcolemmal-associated protein	824	5	8.63E-163	87.40%
contig03268	slmap_human ame: full=sarcolemmal membrane-associated protein short=sarcolemmal-associated protein	124	3	1.86E-18	95.00%
contig03269	slmap_human ame: full=sarcolemmal membrane-associated protein short=sarcolemmal-associated protein	198	4	3.58E-33	97.50%
contig03273	slmap_rabit ame: full=sarcolemmal membrane-associated protein short=sarcolemmal-associated protein	1678	5	0	90.60%
contig03275	slmap_rabit ame: full=sarcolemmal membrane-associated protein short=sarcolemmal-associated protein	151	4	1.10E-23	99.00%
contig03276	sgsm3_mouse ame: full=small g protein signaling modulator 3 ame: full=run and tbc1 domain-containing protein 3	335	5	1.38E-16	76.80%
contig03277	---NA---	448	0		
contig03278	sgsm3_human ame: full=small g protein signaling modulator 3 ame: full=merlin-associated protein ame: full=run and tbc1 domain-containing protein 3 ame: full=rab-gtpase-activating protein short=	315	5	3.15E-58	91.00%
contig03279	sgsm3_human ame: full=small g protein signaling modulator 3 ame: full=merlin-associated protein ame: full=run and tbc1 domain-containing protein 3 ame: full=rab-gtpase-activating protein short=	148	5	5.78E-17	95.80%
contig03280	---NA---	219	0		
contig03282	sgsm3_mouse ame: full=small g protein signaling modulator 3 ame: full=run and tbc1 domain-containing protein 3	1339	5	0	95.80%
contig03283	---NA---	131	0		
contig03285	sgsm3_rat ame: full=small g protein signaling modulator 3 ame: full=bdif-1 ame: full=run and tbc1 domain-containing protein 3	609	5	1.32E-30	95.80%
